title,industry,release_year,imdb_rating,studio,budget,revenue,unit,currency,language
Avatar117,,1958,N/A,Dharma Productions,124.68,3784.93,,USD,Hindi
Schindler199,,1980,9.1,DVV Entertainment,395.5M,3.79B,,USD,
Dilwale87,Hollywood,,N/A,,400.66,4879.38,Billions,INR,
3 Idiots175,,1999,6.2,Yash Raj Films,472.67,2422.0,Millions,INR,English
3 Idiots165,Bollywood,2023,N/A,Warner Bros,294.51,540.3,Millions,USD,
Dark Knight101,Hollywood,,5.5,Warner Bros,197.97,2616.0,,USD,English
Avatar 192,,2003,5.6,Dharma Productions,216.93,34.05,,USD,Bengali
Pushpa33,Hollywood,,8.2,Marvel Studios,421.72,3436.2,Billions,USD,
Interstellar63,,1976,N/A,,215.1,4359.57,Millions,INR,Hindi
Taare Zameen103,,1989,7.9,Yash Raj Films,8.49,3878.7,,INR,
Munna Bhai9,,1990,9.1,,312.96M,2642.62,,INR,Hindi
Jurassic Park 8,Hollywood,1950,9.5,Zee Studios,267.29,7.54B,Billions,INR,Kannada
Dark Knight192,Bollywood,,6.1,Warner Bros,400.19,4431.17,Millions,USD,English
Avengers13,Hollywood,2002,7.3,Paramount,391.53,1303.81,,USD,English
Kabhi Khushi 22,Hollywood,1964,7.1,Dharma Productions,365.68,1443.23,Millions,INR,Telugu
Sanju177,,,6.0,DVV Entertainment,213.71,4929.77,,USD,Hindi
Pursuit88,Bollywood,1958,9.1,,68.38,4455.18,Billions,INR,Telugu
Godfather67,,2002,7.5,Columbia Pictures,467.33,600.5,Millions,INR,
Pathar P148,Hollywood,2000,5.4,Yash Raj Films,346.95M,7.15B,Billions,INR,
Bajirao52,Bollywood,2011,7.9,Zee Studios,115.74,1913.73,Billions,INR,Kannada
PK61,,,5.0,Yash Raj Films,307.03,,Billions,INR,Bengali
KGF94,,2014,8.0,Yash Raj Films,346.26M,3929.95,,USD,Telugu
Taare Zameen76,,2001,,DVV Entertainment,176.6,1006.13,Millions,USD,Bengali
Taare Zameen90,,1955,,,,1726.23,Millions,INR,
Taare Zameen197,Bollywood,1989,8.7,,241.0,3759.52,Billions,USD,Hindi
Avatar5,Bollywood,2008,N/A,,424.61,3178.8,,INR,
Parasite192,Bollywood,1969,5.6,Columbia Pictures,61.17,,,USD,Bengali
Pathar P117,,1981,6.1,Warner Bros,325.12,1847.15,,INR,Bengali
Thor 58,,1984,5.1,Yash Raj Films,35.99,4854.93,,USD,Telugu
Dark Knight88,Bollywood,2011,7.5,Zee Studios,272.23,1.13B,Billions,USD,Hindi
Bajirao192,Hollywood,1987,N/A,DVV Entertainment,95.13,2301.3,Millions,INR,
Shawshank43,,,,,254.03,6.5B,Millions,INR,English
