title,industry,release_year,imdb_rating,studio,budget,revenue,unit,currency,language
Pushpa 1,Hollywood,1993,5.1,Dharma Productions,221.04,1542.81,Millions,USD,Bengali
Pathar P 2,Bollywood,2001,7.7,Warner Bros,99.8,1031.43,Billions,INR,English
Dark Knight 3,Hollywood,2009,6.5,Marvel Studios,115.71,2002.18,Millions,USD,Telugu
Doctor Str 4,Hollywood,1993,7.2,Columbia Pictures,443.62,1886.01,Billions,USD,English
Interstellar 5,Bollywood,1970,8.4,Marvel Studios,396.17,1916.58,Millions,INR,English
Interstellar 6,Bollywood,1975,7.3,Liberty Films,125.31,1634.1,Billions,INR,Hindi
Taare Zameen 7,Bollywood,2009,5.4,Yash Raj Films,34.7,1583.81,Millions,INR,Bengali
Bajirao 8,Bollywood,2014,5.7,DVV Entertainment,221.89,616.68,Billions,INR,Telugu
Munna Bhai 9,Bollywood,2010,7.8,Yash Raj Films,247.51,760.38,Billions,INR,Bengali
Shawshank 10,Bollywood,1997,7.6,Paramount,415.39,803.95,Millions,INR,Hindi
Thor 11,Hollywood,1952,6.4,Zee Studios,189.93,4928.47,Billions,USD,Hindi
Jurassic Park 12,Hollywood,1954,5.6,Universal,366.42,4874.46,Billions,USD,Kannada
Gladiator 13,Bollywood,1998,8.8,Universal,353.74,4355.8,Billions,INR,Kannada
Schindler 14,Hollywood,2001,7.6,Yash Raj Films,97.23,117.34,Billions,USD,Hindi
Pathar P 15,Hollywood,2016,6.9,Yash Raj Films,163.94,3651.38,Millions,USD,Kannada
Titanic 16,Bollywood,1973,6.3,Yash Raj Films,373.26,2013.82,Billions,INR,Kannada
Pursuit 17,Hollywood,1989,5.0,Zee Studios,421.49,4015.04,Billions,USD,Bengali
3 Idiots 18,Bollywood,2009,9.3,Marvel Studios,170.78,3605.98,Millions,INR,English
Interstellar 19,Bollywood,1957,7.9,Liberty Films,16.87,1054.39,Millions,INR,Hindi
Munna Bhai 20,Hollywood,1985,7.9,Yash Raj Films,85.14,2398.26,Millions,USD,Kannada
Gladiator 21,Bollywood,1981,9.3,Paramount,257.01,3284.52,Millions,INR,English
KGF 22,Bollywood,2014,6.7,Zee Studios,201.5,2292.79,Billions,INR,Kannada
Gladiator 23,Bollywood,1967,7.9,Yash Raj Films,306.31,2740.29,Billions,INR,Bengali
Titanic 24,Hollywood,2006,7.6,Marvel Studios,97.06,3188.52,Millions,USD,Bengali
Jurassic Park 25,Bollywood,1979,9.5,Universal,296.01,4548.09,Millions,INR,Kannada
3 Idiots 26,Bollywood,2001,8.9,Universal,387.92,2042.31,Millions,INR,Bengali
Titanic 27,Bollywood,1993,7.4,Universal,198.09,816.14,Billions,INR,Bengali
Kabhi Khushi 28,Hollywood,2010,5.9,DVV Entertainment,115.41,4050.76,Millions,USD,Bengali
Taare Zameen 29,Bollywood,1956,6.6,Marvel Studios,388.33,4074.55,Millions,INR,Telugu
Parasite 30,Bollywood,1989,8.3,Warner Bros,199.46,1130.73,Billions,INR,Bengali
Kabhi Khushi 31,Bollywood,1987,7.7,Yash Raj Films,101.06,2541.67,Billions,INR,Hindi
Schindler 32,Hollywood,1996,9.0,Yash Raj Films,42.0,3919.09,Billions,USD,Bengali
Kabhi Khushi 33,Hollywood,1976,8.5,Paramount,313.45,2287.02,Billions,USD,Telugu
Thor 34,Bollywood,1986,6.8,Dharma Productions,238.0,4467.61,Billions,INR,Telugu
Interstellar 35,Hollywood,1985,7.0,Liberty Films,334.48,2129.75,Millions,USD,Telugu
Schindler 36,Bollywood,2007,5.4,Paramount,380.89,3095.7,Millions,INR,Bengali
Doctor Str 37,Hollywood,2021,7.9,Zee Studios,428.27,1975.64,Billions,USD,Bengali
Gladiator 38,Bollywood,2015,8.3,Dharma Productions,68.22,36.24,Billions,INR,English
Captain America 39,Bollywood,1972,7.1,Paramount,6.58,4675.08,Millions,INR,Kannada
Jurassic Park 40,Bollywood,1957,6.5,Columbia Pictures,466.93,886.22,Billions,INR,English
Pushpa 41,Hollywood,1963,6.4,Marvel Studios,148.96,1199.59,Billions,USD,Hindi
Taare Zameen 42,Bollywood,1984,5.6,DVV Entertainment,457.28,192.15,Millions,INR,Kannada
Shawshank 43,Bollywood,1974,6.1,Yash Raj Films,355.88,3033.36,Millions,INR,Telugu
KGF 44,Bollywood,2007,6.6,Dharma Productions,206.93,4111.95,Billions,INR,Telugu
Godfather 45,Bollywood,1968,5.7,Dharma Productions,296.37,3721.42,Millions,INR,Hindi
Captain America 46,Bollywood,1952,6.3,Zee Studios,340.32,1473.84,Billions,INR,Bengali
